ticker,name,exchange,sector,technical_score,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
Q,"Qnity Electronics, Inc.",NYSE,Technology,10.0,"{'dist_to_52w_high_pct': 3.95, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 2.57, 'rsi14': 62.74, 'ma10': 110.74, 'ma20': 109.74, 'ma50': 104.21, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 73.09, 'breakout': {'score': 2.0, 'donchian20_prev': 119.39, 'donchian55_prev': 119.39, 'atr14': 4.0135, 'vol_ratio_3_20': 2.5714, 'breakout_strength_atr': -1.1735, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.5, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.95, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,114.68000030517578,25988100096,294091023.4980499,2026-03-02T00:00:00Z
CF,"CF Industries Holdings, Inc.",NYSE,Basic Materials,10.0,"{'dist_to_52w_high_pct': 3.21, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.63, 'rsi14': 69.81, 'ma10': 29.04, 'ma20': 28.11, 'ma50': 26.31, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 53.43, 'breakout': {'score': 8.0, 'donchian20_prev': 30.42, 'donchian55_prev': 30.42, 'atr14': 1.3843, 'vol_ratio_3_20': 1.6282, 'breakout_strength_atr': 0.9174, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 4.37, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 2.37, 'extension_adj': -1.0, 'extension_note': 'extended_move_penalty'}, 'data_gaps': []}",8.0,-0.75,31.690000534057617,16893779968,208813987.51367244,2026-03-02T00:00:00Z
EME,"EMCOR Group, Inc.",NYSE,Industrials,10.0,"{'dist_to_52w_high_pct': 3.21, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.63, 'rsi14': 69.81, 'ma10': 29.04, 'ma20': 28.11, 'ma50': 26.31, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 53.43, 'breakout': {'score': 8.0, 'donchian20_prev': 30.42, 'donchian55_prev': 30.42, 'atr14': 1.3843, 'vol_ratio_3_20': 1.6282, 'breakout_strength_atr': 0.9174, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 4.37, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 2.37, 'extension_adj': -1.0, 'extension_note': 'extended_move_penalty'}, 'data_gaps': []}",8.0,-0.75,31.690000534057617,32937828352,208813987.51367244,2026-03-02T00:00:00Z
AMBQ,"Ambiq Micro, Inc.",NYSE,Technology,10.0,"{'dist_to_52w_high_pct': 3.21, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.63, 'rsi14': 69.81, 'ma10': 29.04, 'ma20': 28.11, 'ma50': 26.31, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 53.43, 'breakout': {'score': 8.0, 'donchian20_prev': 30.42, 'donchian55_prev': 30.42, 'atr14': 1.3843, 'vol_ratio_3_20': 1.6282, 'breakout_strength_atr': 0.9174, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 4.37, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 2.37, 'extension_adj': -1.0, 'extension_note': 'extended_move_penalty'}, 'data_gaps': []}",8.0,-0.75,31.690000534057617,644532096,208813987.51367244,2026-03-02T00:00:00Z
SB,"Safe Bulkers, Inc.",NYSE,Industrials,10.0,"{'dist_to_52w_high_pct': 3.0, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.74, 'rsi14': 63.97, 'ma10': 44.77, 'ma20': 43.03, 'ma50': 39.49, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 72.37, 'breakout': {'score': 2.0, 'donchian20_prev': 48.37, 'donchian55_prev': 48.37, 'atr14': 2.2054, 'vol_ratio_3_20': 1.7406, 'breakout_strength_atr': -0.6575, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 4.7, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.03, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,46.91999816894531,681507072,83225889.1899887,2026-03-02T00:00:00Z
NREF,"NexPoint Real Estate Finance, Inc.",NYSE,Real Estate,8.85,"{'dist_to_52w_high_pct': 0.41, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.95, 'rsi14': 67.43, 'ma10': 312.06, 'ma20': 305.99, 'ma50': 287.7, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 41.32, 'breakout': {'score': 6.0, 'donchian20_prev': 322.57, 'donchian55_prev': 322.57, 'atr14': 7.2271, 'vol_ratio_3_20': 0.9476, 'breakout_strength_atr': 0.5382, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.21, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.79, 'extension_adj': 0.0}, 'data_gaps': []}",6.0,0.25,326.4599914550781,336851104,787026472.9891189,2026-03-02T00:00:00Z
OSW,OneSpaWorld Holdings Limited,NCM,Consumer Cyclical,8.85,"{'dist_to_52w_high_pct': 0.41, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.95, 'rsi14': 67.43, 'ma10': 312.06, 'ma20': 305.99, 'ma50': 287.7, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 41.32, 'breakout': {'score': 6.0, 'donchian20_prev': 322.57, 'donchian55_prev': 322.57, 'atr14': 7.2271, 'vol_ratio_3_20': 0.9476, 'breakout_strength_atr': 0.5382, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.21, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.79, 'extension_adj': 0.0}, 'data_gaps': []}",6.0,0.25,326.4599914550781,2160749824,787026472.9891189,2026-03-02T00:00:00Z
HFFG,HF Foods Group Inc.,NCM,Consumer Defensive,8.65,"{'dist_to_52w_high_pct': 2.37, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.37, 'rsi14': 67.34, 'ma10': 172.75, 'ma20': 169.31, 'ma50': 158.33, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 45.18, 'breakout': {'score': 4.0, 'donchian20_prev': 177.25, 'donchian55_prev': 177.25, 'atr14': 6.2525, 'vol_ratio_3_20': 1.3684, 'breakout_strength_atr': 0.2735, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 3.49, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.85, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,178.9600067138672,106618104,422582812.9944328,2026-03-02T00:00:00Z
TTI,"TETRA Technologies, Inc.",NYSE,Industrials,8.65,"{'dist_to_52w_high_pct': 1.35, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.84, 'rsi14': 69.35, 'ma10': 116.78, 'ma20': 114.0, 'ma50': 102.45, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 22.41, 'breakout': {'score': 4.0, 'donchian20_prev': 119.24, 'donchian55_prev': 119.24, 'atr14': 3.3664, 'vol_ratio_3_20': 0.8411, 'breakout_strength_atr': 0.1574, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.81, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.94, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,119.7699966430664,1193020672,43218611.73576546,2026-03-02T00:00:00Z
WRB,W. R. Berkley Corporation,NYSE,Financial Services,8.65,"{'dist_to_52w_high_pct': 1.35, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.84, 'rsi14': 69.35, 'ma10': 116.78, 'ma20': 114.0, 'ma50': 102.45, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 22.41, 'breakout': {'score': 4.0, 'donchian20_prev': 119.24, 'donchian55_prev': 119.24, 'atr14': 3.3664, 'vol_ratio_3_20': 0.8411, 'breakout_strength_atr': 0.1574, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.81, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.94, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,119.7699966430664,27832750080,43218611.73576546,2026-03-02T00:00:00Z
